,cluster_id,firing_rate,presence_ratio,isi_viol,amplitude_cutoff,isolation_distance,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette_score,max_drift,cumulative_drift,epoch_name_quality_metrics,epoch_name_waveform_metrics,peak_channel,snr,duration,halfwidth,PT_ratio,repolarization_slope,recovery_slope,amplitude,spread,velocity_above,velocity_below
20,20,8.293356642747932,0.99,0.04169114925303318,0.20194725818932124,65.40471216948706,0.0031839205102165606,2.67656116475578,0.9199255121042831,0.005151075157297932,0.05031639454356654,37.61,147.03,complete_session,complete_session,13,2.224847710557313,0.5082077051926298,0.1785594639865997,0.4713627412231815,0.4319063869963667,-0.06482738303748052,135.62171999999995,70.00000000000001,0.3433835845896137,-0.2060301507537685
21,21,2.627287074003293,0.99,0.21601944016194105,0.5,36.624928972417365,0.0255139504293584,2.9226727615372625,0.5103244837758112,0.002629715788409022,0.11704021430074411,57.7,392.15,complete_session,complete_session,13,1.8528664047826,0.5494137353433837,0.30217755443886096,0.6562399990308461,0.3156825051019904,-0.03970743865674208,121.11762000000002,110.0,1.1282603493658772,0.2747068676716916
22,22,16.7225863396414,0.99,0.021738697435179716,0.0012529919932260556,69.47485919218511,0.005879088242044942,3.7448766078360407,0.9826666666666667,0.001196607876801415,0.08383479440029817,32.88,67.46,complete_session,complete_session,13,3.7833671444797377,0.5219430485762143,0.19229480737018426,0.490439076480274,0.7296757732933062,-0.124457901079153,242.19741000000016,50.0,0.34338358458961504,-0.34338358458961504
23,23,6.1180616880530945,0.99,0.0500508738385945,0.24729178625108075,65.33213783727004,0.0015379763604110234,3.846881272695038,0.9406565656565656,0.0010613530539578197,0.09346876181479745,25.7,214.78,complete_session,complete_session,13,1.6191169036324833,0.604355108877722,0.3296482412060302,0.5510217263157621,0.2940778999845962,-0.04874132050012831,110.41212,60.00000000000001,-0.3433835845896146,-2.0603015075376905
24,24,7.424768762831095,0.99,0.006935494352581027,3.555339854796633e-06,82.55095099788316,0.00030655668122928325,5.641189918458023,0.9927083333333333,0.0005853994490358127,0.11186764524896334,34.2,109.25,complete_session,complete_session,13,3.5825232433263783,0.5494137353433837,0.2060301507537688,0.5299731680076777,0.695311815979595,-0.13458653355760286,241.29573,70.00000000000001,0.8241206030150752,0.0
25,26,6.386237558434934,0.99,0.0628098781621673,0.0017841043266340554,54.45274193469675,0.005928587671483022,3.6144780679290807,0.9173027989821882,0.0008557540905045527,0.10797991561004609,33.49,119.61,complete_session,complete_session,14,2.535311883960752,0.5906197654941373,0.19229480737018426,0.4047566526845551,0.4757070706183896,-0.08280698525241925,159.57942000000008,70.00000000000001,0.6867671691792301,-0.5494137353433841
26,27,18.905327790546913,0.99,0.21191384888757353,0.005079673532785901,87.40557098091307,0.0012577620948998976,6.254975205943834,0.9926666666666667,0.0002251871868490683,0.16281964497932763,27.52,70.23,complete_session,complete_session,14,3.595909569518693,0.535678391959799,0.30217755443886096,0.6077355956818137,0.5129575102449561,-0.08521832157893514,193.02270000000007,60.00000000000001,0.5494137353433839,-1.0301507537688452
27,28,0.0032642175170098375,0.29,0.0,0.5,2421985353460.8745,,3.500538057729065,,0.0,,,0.0,complete_session,complete_session,14,1.8663590557742744,0.4944723618090451,0.2609715242881072,0.5357766005705987,0.4764729688082151,-0.0243339229162808,177.20015625000005,140.00000000000003,-2.567201084789024,1.4961713328547497
28,29,12.572031759965983,0.99,0.010401615697277104,0.0036576790443061972,65.1124751482904,0.006638494161391659,3.771325879326499,0.9946666666666667,0.00030676022853637027,0.09898682918060693,32.54,80.52,complete_session,complete_session,15,3.0683755316135066,0.5082077051926298,0.1785594639865997,0.5289182054351759,0.7034053207184555,-0.1198911541720662,218.94132,60.00000000000001,0.3433835845896137,-0.2747068676716909
29,30,9.557016849020366,0.99,0.008790587048382013,0.00020645240222081813,134.7111956196546,8.537609840550084e-09,7.033517073242992,0.9930966469428008,0.00010349824052991099,0.28887641632487693,34.25,49.26,complete_session,complete_session,15,5.169858411816385,0.5494137353433837,0.1785594639865997,0.4943799619430736,1.5415846461035996,-0.28039191579812417,481.12271999999984,50.0,1.0301507537688452,0.0
30,32,0.2173764852733739,0.99,0.0,0.5,22.015937564396264,0.027438013645625505,2.7975040948715937,0.037037037037037035,0.00023354352250358655,,48.63,212.57,complete_session,complete_session,15,1.8491287176449007,0.5768844221105526,0.2472361809045225,0.7266720664115636,0.3328780519226067,-0.06572956206330327,127.79987999999994,100.0,0.6867671691792302,0.07358219669777437
31,33,6.952987324825767,0.99,0.020562397958333607,0.0013889952472896704,95.84436856977372,0.00010918232305216899,6.082371596026529,0.9971631205673759,0.0003754906980713432,0.3133596077801782,28.86,90.27,complete_session,complete_session,18,3.77135914393812,0.5219430485762144,0.19229480737018426,0.6176692432757354,0.8647148576554445,-0.16638058241100834,295.5045599999998,70.00000000000001,0.6867671691792301,0.1373534338358455
32,34,3.015422938135244,0.99,0.18501182861805432,0.5,46.79290576069691,0.007198679915306572,3.4253759886844186,0.6982758620689655,0.0034399028733306356,0.07382294646412081,30.79,280.82,complete_session,complete_session,17,2.3451300394452246,0.5768844221105527,0.2884422110552763,0.7783308732307498,0.3377770067761793,-0.06792175884987155,133.13508000000004,90.0,0.6867671691792296,0.1373534338358455
33,35,0.6217314301929675,0.98,0.5934565021499919,0.5,82.31076010394638,1.1946080295483862e-05,5.660750368782224,0.9230769230769231,3.342022592072722e-05,0.1829945254471814,64.22,989.56,complete_session,complete_session,17,1.763454747429973,0.30217755443886096,0.23350083752093803,7.293500641742697,0.4186603499445378,-0.01638998554995061,96.39318,50.0,4.463986599664992,8.584589614740366
34,36,10.254233309294186,0.99,0.01781693429901452,0.0016544981847376203,83.158699706101,0.0026450491840824537,4.309523415484913,0.9656084656084656,0.001177856301531213,0.21692744914713102,44.19,121.85,complete_session,complete_session,18,2.8857536767443066,0.535678391959799,0.21976549413735344,0.6226560827977762,0.6714657643637598,-0.13229039737126289,229.76382000000007,60.00000000000001,0.6867671691792301,0.3433835845896144
35,37,8.216035490313761,0.99,0.08609189399023583,0.00177600378785396,65.20219361189822,0.0034600086887022954,4.2995772990233325,0.9547461368653422,0.0016841960541692446,0.06765879105029192,37.42,97.11,complete_session,complete_session,18,2.8071609118450915,0.5494137353433837,0.23350083752093803,0.5531586002092395,0.7083464731189216,-0.12653765492953026,243.01172999999997,60.00000000000001,0.6867671691792301,0.6180904522613061
36,38,6.632481967374364,0.99,0.1581839877428038,0.0337285131458355,84.05537846620692,0.0004157781242018289,4.758765513446563,0.9808743169398907,0.0006491731583982506,0.09086836530988529,26.64,126.01,complete_session,complete_session,18,2.31501721246708,0.5494137353433836,0.2060301507537688,0.4653709512012101,0.4694028189466296,-0.07660757014939314,164.63187000000005,60.00000000000001,1.3735343383584586,-0.6867671691792301
37,39,4.115362234570153,0.66,0.6817640467216942,0.5,138.66307349815435,4.600658246678658e-08,6.275353612339537,0.9914529914529915,0.00010198878123406426,0.21003998625948106,10.49,159.17,complete_session,complete_session,18,2.3614181172290167,0.3433835845896147,0.16482412060301516,4.2058977553462,0.6028910683848779,-0.06814931756853734,152.46972000000005,30.000000000000004,8.927973199329976,-10.301507537688439
38,40,8.32630483831025,0.99,0.0033089478595106736,0.00048287003815131885,114.571380639769,3.370646859215797e-07,4.981608351571775,1.0,0.0001388165885823356,0.2571264511861169,30.61,90.12,complete_session,complete_session,18,3.4202526903563686,0.5082077051926299,0.19229480737018426,0.5443060670041193,0.7816255915146947,-0.15797732932910924,271.3280700000001,60.00000000000001,1.0301507537688444,-0.34338358458961504
39,41,8.233682666265096,0.99,0.041733687280408854,0.0028393813487944584,91.39291956640548,0.00012179327779494988,3.7410912499586275,0.9779179810725552,0.0004819443010086406,0.1689092826426387,24.82,82.21,complete_session,complete_session,19,3.235387036249029,0.5219430485762143,0.19229480737018426,0.5548958095552828,0.6659821154400444,-0.12509809931291085,216.82791000000003,70.00000000000001,0.4120603015075381,0.2747068676716915
40,42,0.3064284194092985,0.99,0.0,0.5,39.64162633765667,0.002950067237920221,2.6102625101407515,0.46153846153846156,0.00010013016921998598,0.06345233703852056,48.95,550.61,complete_session,complete_session,18,1.4153130776877985,0.6180904522613064,0.3296482412060302,0.9239253149774012,0.2499224383802832,-0.0780485828765674,113.62220999999994,140.00000000000003,1.4879955332216637,0.4120603015075375
41,43,9.30914033132243,0.99,0.0030883191412200495,0.00014428676620973727,140.6789735583855,1.6459992501949068e-07,7.160145274389793,0.9977324263038548,0.0001046134532900931,0.24534225684198419,26.3,77.39,complete_session,complete_session,20,5.275249766960451,0.5219430485762143,0.2060301507537688,0.5533561226151122,0.9446023156105964,-0.17044502567065553,325.3926,60.00000000000001,0.34338358458961504,-0.6867671691792302
42,44,9.680343067084893,0.99,0.0053040198681801685,0.008862841071724307,73.30913360163062,0.0021516624560505232,3.374768603269624,0.9905797101449275,0.00031446540880503143,0.20187729839324092,26.34,123.73,complete_session,complete_session,21,1.9685248638551032,0.5219430485762143,0.19229480737018426,0.4968503183000775,0.3930169100816732,-0.05625523815807646,130.57121999999995,60.00000000000001,0.9614740368509214,0.6867671691792301
43,45,9.687993576890385,0.99,0.005295646114937765,0.0003044201543411293,81.95126339275035,0.0009292938118751352,5.486390539050207,0.9906001446131598,0.0004892196945871335,0.151443428064998,31.26,80.65,complete_session,complete_session,21,3.7324132993053314,0.4944723618090452,0.21976549413735336,0.5200051458703046,0.7852252736431953,-0.12898417132044435,250.9334099999997,50.0,0.6867671691792302,0.13735343383584575
44,46,9.039128338587274,0.99,0.01450614038583376,0.00019550603605999182,85.21485859095559,0.000966199120601462,5.991102831823145,0.9953488372093023,0.0002089864158829676,0.21468998017389923,29.29,53.1,complete_session,complete_session,21,4.915853802332073,0.5082077051926298,0.19229480737018426,0.5357960655486228,1.0366841723487477,-0.190681914879179,329.76138,50.0,0.6867671691792301,-0.34338358458961504
45,47,6.853428690556967,0.99,0.12698490230111711,0.3473310735520121,57.65292722244645,0.00829769724568324,2.79563929626176,0.8666666666666667,0.005925925925925926,0.12540874242557928,19.02,117.23,complete_session,complete_session,21,2.4381871253681693,0.5219430485762143,0.2060301507537688,0.5615070028628231,0.4471371687368336,-0.0755990478838886,150.54897000000003,60.00000000000001,0.8927973199329984,-0.3433835845896137
46,48,4.37649963593094,0.99,0.19362490977297783,0.5,34.87947324721051,0.03556350953311966,2.8057865976379635,0.46474358974358976,0.006740196078431373,0.04629799807642653,35.08,220.95,complete_session,complete_session,21,1.9830432609428408,0.5906197654941373,0.30217755443886096,0.6762654579315366,0.3210097830335556,-0.061761661143532424,120.89609999999996,90.0,0.5494137353433837,0.3433835845896148
47,50,8.51358931834869,0.99,0.004219955595197515,0.00012643771121928832,129.53302271067992,1.1646544533115057e-05,8.093755074477789,0.998158379373849,0.00010375596596804317,0.32649381517442294,39.5,94.11,complete_session,complete_session,22,4.908948437877644,0.5082077051926298,0.2060301507537688,0.5809772048923626,0.9369668881437736,-0.20055745308101855,328.73567999999995,60.00000000000001,1.3735343383584588,0.5494137353433832
48,51,3.188630480131579,0.99,0.3346762604653088,0.14625589292990393,42.94105585034643,0.012530712036990275,2.5243722078908664,0.7506172839506173,0.0024666328771751986,0.1461721820740633,12.6,177.74,complete_session,complete_session,22,2.6266757165247374,0.535678391959799,0.19229480737018426,0.4130973618507829,0.5243905990195026,-0.09345394987507337,169.4725499999999,60.00000000000001,0.4807370184254611,0.3433835845896137
49,52,6.082257302163393,0.99,0.14469107597005212,0.30821985292187165,139.79622581929488,2.986208590306762e-06,5.21993176603034,0.9976851851851852,0.0001372872048325096,0.16687395939389957,49.34,1354.06,complete_session,complete_session,22,1.7326609174711127,0.2884422110552764,0.2060301507537689,2.725805497767096,0.412786049031197,-0.030486091084025783,92.50682999999998,50.0,7.554438860971524,-0.34338358458961504
50,53,2.8330347843723196,0.99,0.29534604748542614,0.5,33.227705256838334,0.03100976784471239,2.913078721942833,0.37777777777777777,0.004318488529014845,0.10554277985804976,27.73,263.37,complete_session,complete_session,22,1.7164466938509202,0.6455611390284758,0.3571189279731993,0.7081545485192328,0.26086197856586635,-0.08116244333891617,118.60524000000004,110.0,0.7848767647762621,0.137353433835846
51,54,4.489829187849625,0.99,0.1460408576730658,0.5,61.95144302879611,0.0029974591277730465,3.767777435308959,0.8411867364746946,0.005946919495701227,0.042691639414730115,16.53,227.73,complete_session,complete_session,22,1.6473242665205403,0.5906197654941374,0.4670016750418761,0.8483595561836945,0.22835368890957003,-0.07451702027216321,100.59503999999993,80.0,0.8241206030150757,1.1675041876046903
52,55,6.841085868070774,0.99,0.14623328467198937,0.28573628384313227,62.12983141296245,0.0030117384030201337,3.4843761514488936,0.9035460992907801,0.004266939750810718,0.12463898524804456,17.38,103.4,complete_session,complete_session,24,2.308350817993668,0.5768844221105526,0.2609715242881072,0.4972208012058755,0.3185704417753893,-0.08007443252541394,119.18244000000004,70.00000000000001,0.34338358458961504,0.1373534338358455
